,University,CNCI,TOP
380,University of Pisa,69.3,17.4
381,University of Quebec Montreal,79.4,6.9
382,University of Regina,84.1,8.9
383,University of Rochester,66.2,29.7
384,University of Salerno,70.0,12.5
385,University of Sao Paulo,56.2,16.5
386,University of Saskatchewan,74.1,16.5
387,University of Sherbrooke,90.8,7.9
388,University of South Florida,71.1,11.9
389,University of Stuttgart,61.2,25.9
390,University of Sussex,74.6,18.4
391,University of the Basque Country,74.4,7.6
392,University of Tuebingen,66.1,27.0
393,University of Victoria,71.8,11.4
394,Washington State University,80.7,15.2
395,West Virginia University,84.7,14.1
396,Wuhan University of Science and Technology,85.9,5.1
397,Wuhan University of Technology,67.2,6.9
398,Zhejiang Gongshang University,77.5,7.6
399,Zhongnan University of Economics and Law,90.0,2.3
400,Amirkabir University of Technology,64.3,6.5
401,Asia University,86.4,0.0
402,Autonomous University of Barcelona,61.7,15.5
403,Beijing Normal University,69.7,8.6
404,Beijing University of Chemical Technology,80.1,4.6
405,Cairo University,77.3,4.6
406,Carlos III University of Madrid,57.3,12.7
407,Catholic University of Louvain,73.1,13.9
408,China University of Petroleum (Huadong),71.0,4.6
409,Clemson University,69.0,15.5
410,Cranfield University,74.4,5.1
411,Dartmouth College,65.9,20.2
412,Donghua University,72.9,4.0
413,Durham University,73.4,11.4
414,Edinburgh Napier University,78.8,6.9
415,Emory University,69.9,12.9
416,Federal University of Minas Gerais,64.7,17.0
417,Fujian Normal University,75.6,4.0
418,George Mason University,60.6,21.2
419,Henan University,79.6,5.1
420,Humboldt University of Berlin,71.5,9.7
421,Indian Institute of Technology Delhi,62.7,16.2
422,Indian Institute of Technology Kharagpur,63.0,13.9
423,ITMO University,71.9,10.7
424,Jiangnan University,65.8,8.3
425,Jiangsu University,65.4,5.6
426,Jiangxi University of Finance & Economics,78.8,3.2
427,Kyungpook National University,70.2,10.0
428,Kyushu Institute of Technology,81.7,6.5
429,Lakehead University,85.7,0.0
430,Lanzhou University,77.6,3.2
431,Laval University,72.0,15.9
432,Liaocheng University,92.2,0.0
433,Lund University,63.6,18.3
